Location ID,Location Name,2017 SDI Index Value,SDI Quintile
128,Guatemala,0.524214498,Low-middle SDI
129,Honduras,0.512339813,Low-middle SDI
130,Mexico,0.628360997,Middle SDI
4643,Aguascalientes,0.659089353,Middle SDI
4644,Baja California,0.656785464,Middle SDI
4645,Baja California Sur,0.658976353,Middle SDI
4646,Campeche,0.615914899,Middle SDI
4649,Chiapas,0.53276266,Middle SDI
4650,Chihuahua,0.638589391,Middle SDI
4647,Coahuila,0.645326148,Middle SDI
4648,Colima,0.65420353,Middle SDI
4652,Durango,0.623979236,Middle SDI
4653,Guanajuato,0.62129178,Middle SDI
4654,Guerrero,0.562442968,Middle SDI
4655,Hidalgo,0.587458446,Middle SDI
4656,Jalisco,0.648991934,Middle SDI
4657,Mexico,0.635428465,Middle SDI
4651,Mexico City,0.715772109,Middle SDI
4658,Michoacan de Ocampo,0.58646838,Middle SDI
4659,Morelos,0.635471941,Middle SDI
4660,Nayarit,0.620025881,Middle SDI
4661,Nuevo Leon,0.677420872,Middle SDI
4662,Oaxaca,0.560543467,Middle SDI
4663,Puebla,0.584252823,Middle SDI
4664,Queretaro,0.639127345,Middle SDI
4665,Quintana Roo,0.626303085,Middle SDI
4666,San Luis Potosi,0.620944629,Middle SDI
4667,Sinaloa,0.648534168,Middle SDI
4668,Sonora,0.650495685,Middle SDI
4669,Tabasco,0.611463527,Middle SDI
4670,Tamaulipas,0.647006129,Middle SDI
4671,Tlaxcala,0.604441163,Middle SDI
4672,Veracruz de Ignacio de la Llave,0.591994,Middle SDI
4673,Yucatan,0.63033024,Middle SDI
4674,Zacatecas,0.607654208,Middle SDI
131,Nicaragua,0.529616174,Low-middle SDI
132,Panama,0.677043867,Middle SDI
133,Venezuela,0.655413104,Middle SDI
134,Tropical Latin America,0.662126282,
135,Brazil,0.663312473,Middle SDI
4750,Acre,0.601605235,Low-middle SDI
4751,Alagoas,0.555715012,Low-middle SDI
4753,Amapa,0.658517629,Middle SDI
4752,Amazonas,0.629315711,Middle SDI
4754,Bahia,0.591019766,Low-middle SDI
4755,Ceara,0.599501511,Low-middle SDI
4756,Distrito Federal,0.79189036,High-middle SDI
4757,Espirito Santo,0.676646695,Middle SDI
4758,Goias,0.650146424,Middle SDI
4759,Maranhao,0.507040138,Low-middle SDI
4762,Mato Grosso,0.662454796,Middle SDI
4761,Mato Grosso do Sul,0.650210546,Middle SDI
4760,Minas Gerais,0.660795264,Middle SDI
4763,Para,0.578664243,Low-middle SDI
4764,Paraiba,0.574462555,Low-middle SDI
4765,Parana,0.682436727,Middle SDI
4766,Pernambuco,0.593552542,Low-middle SDI
4767,Piaui,0.551619925,Low-middle SDI
4768,Rio de Janeiro,0.708855843,High-middle SDI
4769,Rio Grande do Norte,0.605294307,Low-middle SDI
4772,Rio Grande do Sul,0.6927427,Middle SDI
4770,Rondonia,0.621702361,Middle SDI
4771,Roraima,0.646354751,Middle SDI
4773,Santa Catarina,0.702495682,High-middle SDI
4775,Sao Paulo,0.7200519,High-middle SDI
4774,Sergipe,0.615627706,Middle SDI
4776,Tocantins,0.610879077,Middle SDI
136,Paraguay,0.618769591,Middle SDI
137,North Africa and Middle East,0.638603537,
138,North Africa and Middle East,0.638603537,
160,Afghanistan,0.290254968,Low SDI
139,Algeria,0.695849021,Middle SDI
140,Bahrain,0.712258604,High-middle SDI
141,Egypt,0.604307711,Low-middle SDI
142,Iran,0.700086759,High-middle SDI
143,Iraq,0.584823813,Low-middle SDI
144,Jordan,0.696845045,Middle SDI
145,Kuwait,0.785593198,High-middle SDI
146,Lebanon,0.729621127,High-middle SDI
147,Libya,0.760934217,High-middle SDI
148,Morocco,0.579231309,Low-middle SDI
149,Palestine,0.541353069,Low-middle SDI
150,Oman,0.743531097,High-middle SDI
151,Qatar,0.765715882,High-middle SDI
152,Saudi Arabia,0.7790137,High-middle SDI
522,Sudan,0.477915229,Low-middle SDI
153,Syria,0.611084286,Middle SDI
154,Tunisia,0.675428611,Middle SDI
155,Turkey,0.729481001,High-middle SDI
156,United Arab Emirates,0.794722025,High-middle SDI
157,Yemen,0.429504407,Low SDI
158,South Asia,0.533975763,
159,South Asia,0.533975763,
161,Bangladesh,0.457988721,Low SDI
162,Bhutan,0.569907913,Low-middle SDI
163,India,0.550242018,Low-middle SDI
164,Nepal,0.428511471,Low SDI
165,Pakistan,0.492158484,Low-middle SDI
4,"Southeast Asia, East Asia, and Oceania",0.685403755,
5,East Asia,0.708630758,
6,China,0.707319288,High-middle SDI
7,North Korea,0.537679957,Low-middle SDI
8,Taiwan,0.86418562,High SDI
21,Oceania,0.470985744,
298,American Samoa,0.701859796,High-middle SDI
25,Federated States of Micronesia,0.575251612,Low-middle SDI
22,Fiji,0.641435501,Middle SDI
351,Guam,0.794193119,High-middle SDI
23,Kiribati,0.426768011,Low SDI
